Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-05-19 14:39:18,false,"Quebec Carrera","5.00","375","00:23:30","171","186","3.7","172","180","4:42","4:18","36","27","1.23","0.0","0.0","0.0","0.0","0.0","23:30","0:00","20.0","0:00","No","00:45.81","4","0.0"
Running,2020-05-18 20:34:38,false,"Quebec Carrera","5.46","371","00:27:24","151","178","3.2","170","248","5:01","3:50","19","77","1.17","0.0","0.0","0.0","0.0","0.0","27:24","0:00","18.0","0:00","No","03:49.66","4","0.0"
Running,2020-05-13 11:00:01,false,"Quebec Carrera","10.00","763","00:48:54","166","184","4.8","175","182","4:53","4:16","34","25","1.17","0.0","0.0","0.0","0.0","0.0","48:54","0:00","16.0","0:00","No","01:28.28","7","0.0"
Running,2020-05-11 14:19:17,false,"Quebec Carrera","5.57","306","00:25:01","138","160","2.6","173","180","4:29","3:46","14","16","1.29","0.0","0.0","0.0","0.0","0.0","25:01","0:00","18.0","0:00","No","03:04.62","4","0.0"
Running,2020-05-10 11:35:59,false,"Quebec Carrera","4.84","306","00:25:59","139","161","2.7","146","180","5:22","3:40","29","16","1.30","0.0","0.0","0.0","0.0","0.0","25:59","0:00","16.0","0:00","No","00:10.17","4","0.0"
Running,2020-05-07 13:42:14,false,"Quebec Carrera","6.41","396","00:29:43","148","164","3.1","172","180","4:38","4:00","21","20","1.25","0.0","0.0","0.0","0.0","0.0","29:43","0:00","20.0","0:00","No","07:17.40","4","0.0"
Running,2020-05-06 11:25:20,false,"Quebec Carrera","5.49","440","00:34:07","149","165","2.8","166","179","6:13","5:06","10","29","0.97","0.0","0.0","0.0","0.0","0.0","34:07","0:00","17.0","0:00","No","03:50.76","4","0.0"
Running,2020-05-05 15:51:47,false,"Quebec Carrera","3.03","198","00:14:40","148","165","2.5","172","180","4:51","4:20","28","18","1.20","0.0","0.0","0.0","0.0","0.0","14:40","0:00","16.0","0:00","No","06:45.53","2","0.0"
Running,2020-05-04 15:02:19,false,"Quebec Carrera","5.88","380","00:30:11","144","159","3.0","169","176","5:08","4:13","25","33","1.15","0.0","0.0","0.0","0.0","0.0","30:11","0:00","14.0","0:00","No","05:07.70","4","0.0"
Running,2020-05-01 15:00:53,false,"Quebec Carrera","7.00","438","00:32:37","152","166","3.4","173","180","4:39","3:42","21","21","1.24","0.0","0.0","0.0","0.0","0.0","32:37","0:00","16.0","0:00","No","02:32.32","5","0.0"
Running,2020-04-29 11:26:17,false,"Quebec Carrera","7.43","575","00:48:07","145","163","3.0","167","181","6:28","5:27","13","45","0.93","0.0","0.0","0.0","0.0","0.0","48:07","0:00","15.0","0:00","No","06:14.58","5","0.0"
Running,2020-04-28 14:31:21,false,"Quebec Carrera","5.00","302","00:23:25","148","166","3.0","172","180","4:41","4:01","35","9","1.24","0.0","0.0","0.0","0.0","0.0","23:25","0:00","17.0","0:00","No","00:42.11","4","0.0"
Running,2020-04-27 17:02:08,false,"Quebec Carrera","4.00","254","00:19:52","149","175","3.0","171","178","4:58","4:22","38","6","1.18","0.0","0.0","0.0","0.0","0.0","19:52","0:00","15.0","0:00","No","03:41.26","3","0.0"
Running,2020-04-23 14:42:52,false,"Quebec Running","7.00","482","00:32:46","165","189","4.3","173","177","4:41","4:11","36","20","1.24","0.0","0.0","0.0","0.0","0.0","32:46","0:00","20.0","0:00","No","02:27.15","5","0.0"
Running,2020-04-22 13:04:49,false,"Quebec Running","4.73","340","00:31:39","135","150","2.2","163","180","6:42","5:48","28","32","0.91","0.0","0.0","0.0","0.0","0.0","31:39","0:00","9.0","0:00","No","09:53.56","3","0.0"
Running,2020-04-21 15:17:41,false,"Quebec Carrera","5.01","318","00:24:43","147","165","3.0","171","182","4:56","4:03","50","47","1.18","0.0","0.0","0.0","0.0","0.0","24:43","0:00","14.0","0:00","No","00:46.30","4","0.0"
Running,2020-04-20 14:29:21,false,"Quebec Carrera","5.03","356","00:25:51","157","182","3.4","171","178","5:08","4:11","71","58","1.14","0.0","0.0","0.0","0.0","0.0","25:51","0:00","14.0","0:00","No","00:52.85","4","0.0"
Running,2020-04-15 14:25:36,false,"Quebec Carrera","5.00","363","00:24:55","164","183","3.8","173","179","4:59","4:26","41","5","1.16","0.0","0.0","0.0","0.0","0.0","24:55","0:00","15.0","0:00","No","00:50.46","4","0.0"
Running,2020-04-13 14:24:06,false,"Quebec Carrera","5.00","314","00:24:34","147","173","3.2","170","178","4:55","4:18","48","37","1.20","0.0","0.0","0.0","0.0","0.0","24:34","0:00","13.0","0:00","No","00:43.86","4","0.0"
Running,2020-04-12 13:51:38,false,"Quebec Carrera","4.41","320","00:24:43","149","171","3.0","170","178","5:36","4:22","48","50","1.05","0.0","0.0","0.0","0.0","0.0","24:43","0:00","21.0","0:00","No","06:40.100","3","0.0"
Running,2020-04-07 14:41:37,false,"Quebec Carrera","5.01","300","00:23:53","145","161","3.0","172","180","4:46","4:20","33","20","1.22","0.0","0.0","0.0","0.0","0.0","23:53","0:00","14.0","0:00","No","00:52.68","4","0.0"
Running,2020-04-06 14:55:55,false,"Quebec Carrera","2.47","138","00:12:25","134","154","2.1","170","178","5:01","4:19","6","3","1.17","0.0","0.0","0.0","0.0","0.0","12:25","0:00","20.0","0:00","No","04:29.24","2","0.0"
Running,2020-04-05 14:11:18,false,"Quebec Carrera","6.00","415","00:30:49","156","172","3.7","169","176","5:08","4:14","71","29","1.15","0.0","0.0","0.0","0.0","0.0","30:49","0:00","14.0","0:00","No","05:34.34","4","0.0"
Running,2020-04-03 14:04:13,false,"Quebec Carrera","6.68","489","00:34:53","162","188","4.2","162","229","5:13","4:25","24","28","1.18","0.0","0.0","0.0","0.0","0.0","34:53","0:00","17.0","0:00","No","01:08.10","5","0.0"
Running,2020-04-01 17:02:53,false,"Quebec Carrera","5.53","367","00:27:40","154","170","3.5","169","182","5:00","4:13","44","74","1.19","0.0","0.0","0.0","0.0","0.0","27:40","0:00","12.0","0:00","No","03:23.26","4","0.0"
Running,2020-03-31 11:10:35,false,"Quebec Carrera","3.22","202","00:16:04","147","164","2.7","166","176","5:00","4:23","17","13","1.20","0.0","0.0","0.0","0.0","0.0","16:04","0:00","18.0","0:00","No","07:38.26","2","0.0"
Running,2020-03-27 15:27:23,false,"Quebec Carrera","5.58","393","00:33:38","145","171","3.2","152","223","6:02","4:35","62","59","1.10","0.0","0.0","0.0","0.0","0.0","33:38","0:00","16.0","0:00","No","04:26.21","4","0.0"
Running,2020-03-25 16:52:19,false,"Quebec Carrera","4.60","322","00:24:21","156","171","3.4","166","176","5:18","4:25","48","46","1.13","0.0","0.0","0.0","0.0","0.0","24:21","0:00","18.0","0:00","No","06:59.35","3","0.0"
Running,2020-03-15 15:17:28,false,"Quebec Carrera","3.43","234","00:18:00","156","172","3.1","157","178","5:15","3:53","23","25","1.21","0.0","0.0","0.0","0.0","0.0","18:00","0:00","17.0","0:00","No","01:01.47","3","0.0"
Running,2020-03-08 16:38:01,false,"Quebec Carrera","3.22","208","00:16:42","150","168","2.9","165","176","5:11","4:11","16","13","1.17","0.0","0.0","0.0","0.0","0.0","16:42","0:00","15.0","0:00","No","00:04.31","3","0.0"
Running,2020-02-25 14:52:24,false,"Quebec Carrera","4.45","276","00:20:41","159","191","3.6","171","235","4:39","3:55","26","24","1.26","0.0","0.0","0.0","0.0","0.0","20:41","0:00","16.0","0:00","No","05:33.72","3","0.0"
